""      ,"ZPID"       ,"address"                                                           ,"price"    ,"bed" ,"bath" ,"Sq.Feet" ,"city"                 ,"zip-code"
"63"    ,"69366476"   ,"6301 Selborn Dr SW, Atlanta, GA 30331"                             ,"410000"   ,"5"   ,"3"    ,"0"       ,"Atlanta"              ,"30331"
"64"    ,"35923873"   ,"2152 Main St NW, Atlanta, GA 30318"                                ,"397500"   ,"4"   ,"3"    ,"2472"    ,"Atlanta"              ,"30318"
"65"    ,"35878396"   ,"1674 Niskey Lake Rd SW, Atlanta, GA 30331"                         ,"398500"   ,"3"   ,"4"    ,"3480"    ,"Atlanta"              ,"30331"
"66"    ,"35883318"   ,"1577 Jonesboro Rd SE, Atlanta, GA 30315"                           ,"389000"   ,"3"   ,"3"    ,"2200"    ,"Atlanta"              ,"30315"
"67"    ,"65447122"   ,"4960 Highland Lake Dr, Atlanta, GA 30349"                          ,"560000"   ,"5"   ,"5"    ,"2958"    ,"Atlanta"              ,"30349"
"68"    ,"2061780471" ,"508 Broadview Pl NE, Atlanta, GA 30324"                            ,"575000"   ,"3"   ,"3"    ,"2532"    ,"Atlanta"              ,"30324"
"69"    ,"35873400"   ,"3565 Glenview Cir SW, Atlanta, GA 30331"                           ,"259900"   ,"2"   ,"2"    ,"1125"    ,"Atlanta"              ,"30331"
"70"    ,"35908425"   ,"2081 Dellwood Dr NW, Atlanta, GA 30309"                            ,"849000"   ,"3"   ,"4"    ,"2292"    ,"Atlanta"              ,"30309"
"71"    ,"14446813"   ,"910 Stallings Ave, Atlanta, GA 30316"                              ,"762000"   ,"5"   ,"4"    ,"2896"    ,"Atlanta"              ,"30316"
"72"    ,"14432141"   ,"3359 Almand Rd, Atlanta, GA 30316"                                 ,"250000"   ,"3"   ,"2"    ,"1525"    ,"Atlanta"              ,"30316"
"73"    ,"171479146"  ,"1710 Adams Dr SW, Atlanta, GA 30311"                               ,"1999999"  ,"5"   ,"8"    ,"9987"    ,"Atlanta"              ,"30311"
"74"    ,"35863321"   ,"2597 Benjamin E Mays Dr SW, Atlanta, GA 30311"                     ,"349000"   ,"4"   ,"4"    ,"3868"    ,"Atlanta"              ,"30311"
"75"    ,"35851151"   ,"980 Saint Charles Ave NE APT 4, Atlanta, GA 30306"                 ,"379900"   ,"2"   ,"2"    ,"1128"    ,"Atlanta"              ,"30306"
"76"    ,"69343153"   ,"594 Griffin St NW, Atlanta, GA 30318"                              ,"4e+05"    ,"3"   ,"3"    ,"1600"    ,"Atlanta"              ,"30318"
"77"    ,"2146599268" ,"158 Walker St SW APT 6, Atlanta, GA 30313"                         ,"310000"   ,"2"   ,"2"    ,"1400"    ,"Atlanta"              ,"30313"
"78"    ,"35858287"   ,"2340 Highview Rd SW, Atlanta, GA 30311"                            ,"669900"   ,"6"   ,"5"    ,"4100"    ,"Atlanta"              ,"30311"
"79"    ,"35888129"   ,"752 Windsor St SW, Atlanta, GA 30315"                              ,"374900"   ,"3"   ,"2"    ,"1824"    ,"Atlanta"              ,"30315"
"80"    ,"14468263"   ,"132 Flora Ave, Atlanta, GA 30307"                                  ,"425000"   ,"4"   ,"2"    ,"2692"    ,"Atlanta"              ,"30307"
