"Address","lon","lat","address"
"4044 Meramec St, Saint Louis, MO 63116",-90.256164,38.5868369,"4044 meramec st, st. louis, mo 63116, usa"
"7795 Grandmont Ave, Detroit, MI 48228",-83.2085387,42.3496303,"7795 grandmont ave, detroit, mi 48228, usa"
"2235 Gasconade St, Saint Louis, MO 63118",-90.2270494,38.5808179,"2235 gasconade st, st. louis, mo 63118, usa"
"509 Hurck St, Saint Louis, MO 63111",-90.2676436,38.545345,"509 hurck st, st. louis, mo 63111, usa"
"15718 Plainview Ave, Detroit, MI 48223",-83.236109,42.4047867,"15718 plainview ave, detroit, mi 48223, usa"
"2016 Schaeffer Pl, Saint Louis, MO 63139",-90.3001324,38.6202929,"2016 schaeffer pl, st. louis, mo 63139, usa"
"5034 Vernon Ave, Saint Louis, MO 63113",-90.2638931,38.65791,"5034 vernon ave, st. louis, mo 63113, usa"
"2318 E 96th St, Chicago, IL 60617",-87.5671805,41.7215492,"2318 e 96th st, chicago, il 60617, usa"
"4115 San Francisco Ave, Saint Louis, MO 63115",-90.2281913,38.6683481,"4115 san francisco ave, st. louis, mo 63115, usa"
"3941 Schiller Pl, Saint Louis, MO 63116",-90.2606748,38.5743201,"3941 schiller pl, st. louis, mo 63116, usa"
"3927 Gravois Ave, Saint Louis, MO 63116",-90.252268,38.5912632,"3927 gravois ave, st. louis, mo 63116, usa"
"210 N 17th St UNIT 612, Saint Louis, MO 63103",-90.2042825,38.6307247,"210 n 17th st #612, st. louis, mo 63103, usa"
"16509 Murray Hill St, Detroit, MI 48235",-83.2079529,42.4105766,"16509 murray hill st, detroit, mi 48235, usa"
"881 Velp Ave, Green Bay, WI 54303",-88.0250543,44.5274903,"881 velp ave, green bay, wi 54303, usa"
"148 City Island Avenue UNIT B73 , B74, BRONX, NY 10464",-73.7843991,40.8420968,"148 city island ave b73 b74, the bronx, ny 10464, usa"
"5824 Maple Ave, Saint Louis, MO 63112",-90.286686,38.66077,"5824 maple ave, st. louis, mo 63112, usa"
"3931 Gravois Ave, Saint Louis, MO 63116",-90.252378,38.591222,"3931 gravois ave, st. louis, mo 63116, usa"
"120 Cleveland St, Green Bay, WI 54303",-88.0385057,44.5216879,"120 cleveland st, green bay, wi 54303, usa"
"203 N Ashland Ave, Green Bay, WI 54303",-88.024481,44.5195706,"203 n ashland ave, green bay, wi 54303, usa"
"4354 Wallace St, Saint Louis, MO 63116",-90.2688639,38.5827391,"4354 wallace st, st. louis, mo 63116, usa"
"12629 Sorrento St, Detroit, MI 48227",-83.1723741,42.3808869,"12629 sorrento ave, detroit, mi 48227, usa"
"9827 Walnut St #111, Dallas, TX 75243",-96.7137218,32.9227686,"9827 walnut st #111, dallas, tx 75243, usa"
"9835 Walnut St #105, Dallas, TX 75243",-96.7129803,32.9232348,"9835 walnut st #105, dallas, tx 75243, usa"
"9811 Walnut St #103, Dallas, TX 75243",-96.712411,32.9229075,"9811 walnut st #103, dallas, tx 75243, usa"
"9696 Walnut St APT 712, Dallas, TX 75243",-96.7216081,32.9228662,"9696 walnut st #712, dallas, tx 75243, usa"
"2717 Dawson St, Dallas, TX 75226",-96.7783192,32.7776832,"2717 dawson st, dallas, tx 75226, usa"
"9520 Royal Ln APT 118, Dallas, TX 75243",-96.7388664,32.8921228,"9520 royal ln #118, dallas, tx 75231, usa"
"11470 Audelia Rd APT 157, Dallas, TX 75243",-96.7160297,32.9050517,"11470 audelia rd #157, dallas, tx 75243, usa"
"3207 Sullivan Ave, Saint Louis, MO 63107",-90.2170106,38.6578012,"3207 sullivan ave, st. louis, mo 63107, usa"
"2931 Nebraska Ave, Saint Louis, MO 63118",-90.2308605,38.6020072,"2931 nebraska ave, st. louis, mo 63118, usa"
"1222 Hornsby Ave, Saint Louis, MO 63147",-90.2389969,38.7188801,"1222 hornsby ave, st. louis, mo 63147, usa"
"1825 Madison St, Saint Louis, MO 63106",-90.2007487,38.6456644,"1825 madison st, st. louis, mo 63106, usa"
"7127 Vermont Ave, Saint Louis, MO 63111",-90.259272,38.5537227,"7127 vermont ave, st. louis, mo 63111, usa"
"4707 Minnesota Ave, Saint Louis, MO 63111",-90.2397645,38.5709606,"4707 minnesota ave, st. louis, mo 63111, usa"
"5028 Terry Ave, Saint Louis, MO 63115",-90.2570808,38.6708767,"5028 terry ave, st. louis, mo 63115, usa"
"5069 Cabanne Ave, Saint Louis, MO 63113",-90.2652685,38.6565757,"5069 cabanne ave, st. louis, mo 63113, usa"
"4219 Red Bud Ave, Saint Louis, MO 63115",-90.2277273,38.6738502,"4219 red bud ave, st. louis, mo 63115, usa"
"8545 Concord Pl, Saint Louis, MO 63147",-90.2306773,38.7182011,"8545 concord pl, st. louis, mo 63147, usa"
"4319 California Ave, Saint Louis, MO 63111",-90.233719,38.5771552,"4319 california ave, st. louis, mo 63111, usa"
"5892 Cote Brilliante Ave, Saint Louis, MO 63112",-90.2813556,38.6749057,"5892 cote brilliante ave, st. louis, mo 63112, usa"
"3161 Texas Ave, Saint Louis, MO 63118",-90.2260219,38.5975862,"3161 texas ave, st. louis, mo 63118, usa"
"5908 Morgan Ford Rd, Saint Louis, MO 63116",-90.2703668,38.5733782,"5908 morgan ford rd, st. louis, mo 63116, usa"
"210 N 17th St UNIT 202, Saint Louis, MO 63103",-90.2042825,38.6307247,"210 n 17th st #202, st. louis, mo 63103, usa"
"2228 Osage St, Saint Louis, MO 63118",-90.2265715,38.5822155,"2228 osage st, st. louis, mo 63118, usa"
"4331 Lee Ave, Saint Louis, MO 63115",-90.2308678,38.6738257,"4331 lee ave, st. louis, mo 63115, usa"
"1039 N Long Ave, Chicago, IL 60651",-87.7604682,41.8996951,"1039 n long ave, chicago, il 60651, usa"
"9542 Olde Towne Row, Dallas, TX 75227",-96.6578935,32.7513085,"9542 olde towne row, dallas, tx 75227, usa"
"1153 Riverview Blvd, Saint Louis, MO 63147",-90.237954,38.723115,"1153 riverview blvd, st. louis, mo 63147, usa"
"2686 Humboldt Rd APT 16, Green Bay, WI 54311",-87.9485985,44.5121113,"2686 humboldt rd apt 16, green bay, wi 54311, usa"
"160-10 89th Avenue UNIT 10B, Jamaica, NY 11432",-73.8002285,40.706032,"160-10 89th ave #10b, jamaica, ny 11432, usa"
"2913 California Ave, Saint Louis, MO 63118",-90.2285793,38.601858,"2913 california ave, st. louis, mo 63118, usa"
"5813 Minnesota Ave, Saint Louis, MO 63111",-90.245806,38.5611456,"5813 minnesota ave, st. louis, mo 63111, usa"
"3332 SE Fremont St, Topeka, KS 66605",-95.6758214,39.0066365,"3332 se fremont st, topeka, ks 66605, usa"
"14-30 Seagirt Boulevard UNIT 2H, Far Rockaway, NY 11691",-73.7494613,40.5957597,"14-30 seagirt blvd #2h, far rockaway, ny 11691, usa"
"3176 Decatur Ave UNIT 6 J, BRONX, NY 10467",-73.8759542,40.8731146,"3176 decatur ave apt 6j, the bronx, ny 10467, usa"
